LDA     3   00
LDX     3   04
LDL     3   08
LDB     3   68
LDT     3   74
STA     3   0C
STX     3   10
STL     3   14
LDCH    3   50
STCH    3   54
ADD     3   18
SUB     3   1C
MUL     3   20
DIV     3   24
COMP    3   28
COMPR   2   A0
CLEAR   2   B4
J       3   3C
JLT     3   38
JEQ     3   30
JGT     3   34
JSUB    3   48
RSUB    3   4C
TIX     3   2C
TIXR    2   B8
TD      3   E0
RD      3   D8
WD      3   DC
